نماد,نسبت پول به قیمت,درصد اختلاف سه ماهه,ریسک,میانگین حجم 7 روزه,میانگین حجم / ارزش ماه,نسبت خرید و فروش
فاذر,نسبت p/m=-2.81*** distance =-96.88,1.80,-31.40,57.18,مین حجم ماه=58.76*** مین ارزش ماه =4.90***مین حجم ماه دو=47.18,خرید=1.08*** فروش =1.10
هرمز,نسبت p/m=145.23*** distance =5.74,6.06,-21.33,31.51,مین حجم ماه=19.33*** مین ارزش ماه =2.61***مین حجم ماه دو=11.65,خرید=0.59*** فروش =2.22
كقزوي,نسبت p/m=-0.23*** distance =-99.61,20.37,-24.58,45.13,مین حجم ماه=40.65*** مین ارزش ماه =2.23***مین حجم ماه دو=29.79,خرید=0.93*** فروش =1.13
فسرب,نسبت p/m=8.08*** distance =-92.59,19.20,-29.13,27.88,مین حجم ماه=15.68*** مین ارزش ماه =1.79***مین حجم ماه دو=18.66,خرید=0.63*** فروش =0.70
حفارس,نسبت p/m=-9.14*** distance =-95.75,10.88,-5.59,43.75,مین حجم ماه=56.88*** مین ارزش ماه =11.89***مین حجم ماه دو=81.67,خرید=1.09*** فروش =1.19
غزر,نسبت p/m=-8.67*** distance =-96.32,3.86,-32.58,71.91,مین حجم ماه=69.58*** مین ارزش ماه =14.94***مین حجم ماه دو=79.61,خرید=1.05*** فروش =0.97
بورس,نسبت p/m=-3.46*** distance =-98.92,4.97,-35.19,46.42,مین حجم ماه=44.26*** مین ارزش ماه =13.07***مین حجم ماه دو=27.58,خرید=1.01*** فروش =0.90
بترانس,نسبت p/m=19.93*** distance =-94.50,2.46,-25.13,116.69,مین حجم ماه=81.11*** مین ارزش ماه =27.87***مین حجم ماه دو=40.84,خرید=0.66*** فروش =0.70
آباد,نسبت p/m=19.23*** distance =-78.09,18.10,-20.87,59.55,مین حجم ماه=42.51*** مین ارزش ماه =3.63***مین حجم ماه دو=30.02,خرید=0.64*** فروش =0.70
پترول,نسبت p/m=-14.40*** distance =-90.88,2.10,-24.31,54.93,مین حجم ماه=69.87*** مین ارزش ماه =10.25***مین حجم ماه دو=47.67,خرید=1.34*** فروش =1.40
فرابورس,نسبت p/m=-8.22*** distance =-97.87,19.28,-20.42,41.80,مین حجم ماه=43.51*** مین ارزش ماه =16.32***مین حجم ماه دو=31.97,خرید=0.99*** فروش =0.94
خبنيان,نسبت p/m=-9.22*** distance =-95.59,4.26,-33.18,58.66,مین حجم ماه=73.77*** مین ارزش ماه =13.83***مین حجم ماه دو=18.35,خرید=1.30*** فروش =1.16
وكادو,نسبت p/m=-54.03*** distance =-72.13,14.35,-38.22,22.04,مین حجم ماه=12.15*** مین ارزش ماه =2.26***مین حجم ماه دو=6.86,خرید=0.58*** فروش =0.70
خصدرا,نسبت p/m=38.46*** distance =-81.44,23.54,-10.66,84.84,مین حجم ماه=83.06*** مین ارزش ماه =17.30***مین حجم ماه دو=1.26,خرید=0.82*** فروش =0.87
ثشاهد,نسبت p/m=115.16*** distance =-83.30,4.98,-48.50,40.31,مین حجم ماه=25.67*** مین ارزش ماه =16.24***مین حجم ماه دو=12.38,خرید=0.70*** فروش =0.73
وغدير,نسبت p/m=136.38*** distance =-86.41,3.55,-22.26,86.79,مین حجم ماه=96.42*** مین ارزش ماه =93.26***مین حجم ماه دو=39.07,خرید=1.41*** فروش =1.21
خيمن,نسبت p/m=187.35*** distance =-52.42,0.02,-31.16,27.52,مین حجم ماه=20.14*** مین ارزش ماه =7.52***مین حجم ماه دو=16.54,خرید=0.74*** فروش =1.11
بپاس,نسبت p/m=402.94*** distance =-46.29,0.00,-28.19,33.08,مین حجم ماه=44.69*** مین ارزش ماه =30.88***مین حجم ماه دو=19.01,خرید=1.03*** فروش =6.44
ناما,نسبت p/m=621.48*** distance =61.12,68.49,-19.91,12.30,مین حجم ماه=4.37*** مین ارزش ماه =1.76***مین حجم ماه دو=0.91,خرید=0.35*** فروش =0.46
فن افزار,نسبت p/m=-117.47*** distance =-72.98,0.42,-22.65,25.94,مین حجم ماه=19.98*** مین ارزش ماه =8.33***مین حجم ماه دو=17.50,خرید=0.70*** فروش =0.76
وشهر,نسبت p/m=-7.99*** distance =-97.36,62.37,-17.46,81.74,مین حجم ماه=89.92*** مین ارزش ماه =25.28***مین حجم ماه دو=117.47,خرید=0.90*** فروش =1.27
حفاري,نسبت p/m=83.52*** distance =-82.91,9.80,-32.46,77.34,مین حجم ماه=40.10*** مین ارزش ماه =18.65***مین حجم ماه دو=20.39,خرید=0.56*** فروش =0.53
ختور,نسبت p/m=15.84*** distance =-90.97,14.38,-34.12,34.96,مین حجم ماه=27.87*** مین ارزش ماه =4.52***مین حجم ماه دو=12.41,خرید=0.92*** فروش =0.86
رمپنا,نسبت p/m=481.32*** distance =-64.09,20.27,-18.57,44.72,مین حجم ماه=24.53*** مین ارزش ماه =31.75***مین حجم ماه دو=27.19,خرید=0.56*** فروش =0.50
بهپاك,نسبت p/m=134.21*** distance =-73.09,0.17,-32.97,21.46,مین حجم ماه=11.86*** مین ارزش ماه =5.73***مین حجم ماه دو=7.13,خرید=0.68*** فروش =0.72
فخاس,نسبت p/m=188.18*** distance =-18.13,11.51,-18.02,61.17,مین حجم ماه=28.42*** مین ارزش ماه =6.35***مین حجم ماه دو=18.37,خرید=0.46*** فروش =0.51
فباهنر,نسبت p/m=-33.75*** distance =-94.92,2.59,-32.68,49.54,مین حجم ماه=44.18*** مین ارزش ماه =27.28***مین حجم ماه دو=29.00,خرید=0.75*** فروش =0.74
فروژ,نسبت p/m=9.27*** distance =-88.72,9.38,-20.83,17.54,مین حجم ماه=20.31*** مین ارزش ماه =1.58***مین حجم ماه دو=7.79,خرید=1.38*** فروش =1.29
حكشتي,نسبت p/m=142.39*** distance =-74.87,26.09,-2.39,86.16,مین حجم ماه=56.93*** مین ارزش ماه =33.23***مین حجم ماه دو=33.08,خرید=0.55*** فروش =0.57
دلقما,نسبت p/m=29.64*** distance =-87.52,1.17,-30.66,28.35,مین حجم ماه=33.40*** مین ارزش ماه =7.51***مین حجم ماه دو=19.12,خرید=1.11*** فروش =1.39
قصفها,نسبت p/m=3.60*** distance =-96.82,0.33,-24.12,32.52,مین حجم ماه=32.79*** مین ارزش ماه =3.55***مین حجم ماه دو=31.62,خرید=1.03*** فروش =1.09
حتوكا,نسبت p/m=200.27*** distance =-7.86,1.36,-15.32,11.15,مین حجم ماه=5.79*** مین ارزش ماه =1.28***مین حجم ماه دو=4.65,خرید=0.64*** فروش =0.93
گدنا,نسبت p/m=-160.01*** distance =-67.79,0.37,-32.61,28.29,مین حجم ماه=16.21*** مین ارزش ماه =7.74***مین حجم ماه دو=9.97,خرید=0.64*** فروش =0.64
سغرب,نسبت p/m=680.11*** distance =-13.12,17.01,-6.06,9.94,مین حجم ماه=6.35*** مین ارزش ماه =5.06***مین حجم ماه دو=3.13,خرید=0.86*** فروش =1.06
ثمسكن,نسبت p/m=33.34*** distance =-82.98,1.85,-36.25,42.59,مین حجم ماه=26.21*** مین ارزش ماه =4.77***مین حجم ماه دو=12.60,خرید=0.62*** فروش =0.67
سيمرغ,نسبت p/m=-30.55*** distance =-82.29,2.33,-17.43,60.34,مین حجم ماه=40.31*** مین ارزش ماه =6.72***مین حجم ماه دو=31.52,خرید=0.67*** فروش =0.69
كسرا,نسبت p/m=4.17*** distance =-98.25,11.85,-28.94,39.65,مین حجم ماه=31.75*** مین ارزش ماه =7.04***مین حجم ماه دو=20.01,خرید=0.81*** فروش =0.78
سمگا,نسبت p/m=8.53*** distance =-97.14,17.63,-28.73,41.05,مین حجم ماه=37.18*** مین ارزش ماه =10.34***مین حجم ماه دو=48.60,خرید=0.79*** فروش =0.74
پي پاد,نسبت p/m=70.44*** distance =-89.22,2.03,-44.23,25.32,مین حجم ماه=14.96*** مین ارزش ماه =8.98***مین حجم ماه دو=4.45,خرید=0.66*** فروش =0.68
ورازي,نسبت p/m=-13.44*** distance =-84.10,4.53,-37.80,31.91,مین حجم ماه=36.30*** مین ارزش ماه =2.69***مین حجم ماه دو=15.03,خرید=1.13*** فروش =1.28
كرازي,نسبت p/m=32.29*** distance =-64.92,12.63,-15.59,52.34,مین حجم ماه=46.42*** مین ارزش ماه =4.18***مین حجم ماه دو=40.75,خرید=0.80*** فروش =1.01
حآفرين,نسبت p/m=-99.69*** distance =-24.57,1.89,-28.72,56.80,مین حجم ماه=38.01*** مین ارزش ماه =4.73***مین حجم ماه دو=28.72,خرید=0.88*** فروش =0.64
غپينو,نسبت p/m=142.81*** distance =-70.77,0.14,-29.46,17.96,مین حجم ماه=15.08*** مین ارزش ماه =6.97***مین حجم ماه دو=17.51,خرید=0.85*** فروش =1.03
وسبحان,نسبت p/m=17.42*** distance =-91.87,1.77,-15.87,25.95,مین حجم ماه=22.33*** مین ارزش ماه =4.85***مین حجم ماه دو=11.13,خرید=1.05*** فروش =0.77
ختراك,نسبت p/m=113.42*** distance =-49.09,10.26,-23.85,48.58,مین حجم ماه=28.51*** مین ارزش ماه =6.18***مین حجم ماه دو=9.60,خرید=0.58*** فروش =0.67
ولساپا,نسبت p/m=3.67*** distance =-94.30,2.64,-11.20,71.49,مین حجم ماه=68.13*** مین ارزش ماه =4.29***مین حجم ماه دو=35.36,خرید=1.12*** فروش =1.14
لكما,نسبت p/m=0.00*** distance =-100.00,0.17,-39.95,30.82,مین حجم ماه=29.80*** مین ارزش ماه =3.02***مین حجم ماه دو=11.62,خرید=1.03*** فروش =1.03
شمواد,نسبت p/m=-1.78*** distance =-99.29,4.79,-26.26,23.12,مین حجم ماه=33.68*** مین ارزش ماه =7.94***مین حجم ماه دو=3.46,خرید=1.48*** فروش =1.15
فولاژ,نسبت p/m=418.54*** distance =24.96,13.64,-8.37,19.85,مین حجم ماه=11.36*** مین ارزش ماه =3.83***مین حجم ماه دو=3.08,خرید=0.43*** فروش =1.00
شسپا,نسبت p/m=-113.51*** distance =-82.95,0.14,-31.38,23.52,مین حجم ماه=24.75*** مین ارزش ماه =15.62***مین حجم ماه دو=20.68,خرید=1.08*** فروش =0.93
ثالوند,نسبت p/m=110.30*** distance =-82.74,0.00,-59.86,28.25,مین حجم ماه=16.77*** مین ارزش ماه =9.57***مین حجم ماه دو=10.52,خرید=0.73*** فروش =0.75
ماديرا,نسبت p/m=43.02*** distance =-84.01,1.55,-19.11,38.34,مین حجم ماه=23.54*** مین ارزش ماه =6.25***مین حجم ماه دو=18.00,خرید=0.54*** فروش =0.53
شفارس,نسبت p/m=16.56*** distance =-90.41,17.22,-9.16,45.11,مین حجم ماه=44.74*** مین ارزش ماه =7.59***مین حجم ماه دو=23.23,خرید=0.88*** فروش =0.95
شهر,نسبت p/m=31.51*** distance =-86.66,12.91,-8.10,22.28,مین حجم ماه=27.68*** مین ارزش ماه =6.48***مین حجم ماه دو=24.44,خرید=1.23*** فروش =1.17
كروميت,نسبت p/m=19.55*** distance =-95.26,15.96,-20.61,23.72,مین حجم ماه=17.84*** مین ارزش ماه =6.95***مین حجم ماه دو=9.09,خرید=0.79*** فروش =0.81
شفام,نسبت p/m=-6.80*** distance =-96.49,16.21,-20.15,34.49,مین حجم ماه=21.68*** مین ارزش ماه =3.99***مین حجم ماه دو=7.99,خرید=0.70*** فروش =0.64
زملارد,نسبت p/m=2.64*** distance =-96.89,3.95,-30.67,38.47,مین حجم ماه=41.57*** مین ارزش ماه =3.17***مین حجم ماه دو=27.16,خرید=1.18*** فروش =1.22
غشهداب,نسبت p/m=0.07*** distance =-99.95,1.65,-25.04,45.92,مین حجم ماه=24.13*** مین ارزش ماه =3.17***مین حجم ماه دو=14.75,خرید=0.58*** فروش =0.54
شمس,نسبت p/m=228.20*** distance =-42.79,2.50,-26.09,35.05,مین حجم ماه=18.40*** مین ارزش ماه =7.10***مین حجم ماه دو=12.06,خرید=0.54*** فروش =0.65
تاپيكو,نسبت p/m=-184.49*** distance =-89.21,0.17,-27.68,17.29,مین حجم ماه=24.05*** مین ارزش ماه =39.05***مین حجم ماه دو=13.05,خرید=1.81*** فروش =1.30
